ds,y,RESP,MA_ATM,bar
2018-01-01,46100000.0,-18,11703798,18
2018-01-02,111450000.0,-53,34461183,53
2018-01-03,98150000.0,-39,25358229,39
2018-01-04,123700000.0,-49,31860339,49
2018-01-05,75800000.0,-45,29259495,45
2018-01-06,137650000.0,-59,38362449,59
2018-01-07,79750000.0,-43,27959073,43
2018-01-08,85000000.0,-37,24057807,37
2018-01-09,132150000.0,4899,42913926,66
2018-01-10,92850000.0,-60,39012660,60
2018-01-11,132500000.0,-59,38362449,59
2018-01-12,126900000.0,3921,33160761,51
2018-01-13,123100000.0,-63,40963293,63
2018-01-14,79550000.0,-37,24057807,37
2018-01-15,147950000.0,1928,37712238,58
2018-01-16,218850000.0,-77,50066247,77
2018-01-17,128000000.0,-49,31860339,49
2018-01-18,99900000.0,-45,29259495,45
2018-01-19,101850000.0,-49,31860339,49
2018-01-20,147850000.0,-67,43564137,67
2018-01-21,122000000.0,-39,25358229,39
2018-01-22,151950000.0,-62,40313082,62
2018-01-23,166300000.0,-62,40313082,62
2018-01-24,82350000.0,-43,27959073,43
2018-01-25,112500000.0,-50,32510550,50
2018-01-26,182450000.0,1906,52016880,80
2018-01-27,190700000.0,-81,52667091,81
2018-01-28,49000000.0,-25,16255275,25
2018-01-29,199450000.0,3892,52016880,80
2018-01-30,88500000.0,-42,27308862,42
2018-01-31,243500000.0,-84,54617724,84
2018-02-01,176000000.0,-82,53317302,82
2018-02-02,258900000.0,-91,59169201,91
2018-02-03,176500000.0,921,46815192,72
2018-02-04,192150000.0,-58,37712238,58
2018-02-05,211700000.0,-81,52667091,81
2018-02-06,118060000.0,6886,42263715,65
2018-02-07,285550000.0,-112,72823632,112
2018-02-08,203310000.0,1910,49416036,76
2018-02-09,254250000.0,-92,59819412,92
2018-02-10,321500000.0,-106,68922366,106
2018-02-11,180000000.0,-60,39012660,60
2018-02-12,367280000.0,7825,77375109,119
2018-02-13,337650000.0,11800,75424476,116
2018-02-14,62950000.0,-24,15605064,24
2018-02-15,93800000.0,-30,19506330,30
2018-02-16,500000.0,-1,650211,1
2018-02-17,2500000.0,-3,1950633,3
2018-02-18,5000000.0,-2,1300422,2
2018-02-19,500000.0,-2,1300422,2
2018-02-20,23500000.0,-6,3901266,6
2018-02-21,35950000.0,-14,9102954,14
2018-02-22,31500000.0,-15,9753165,15
2018-02-23,132150000.0,-48,31210128,48
2018-02-24,169100000.0,-64,41613504,64
2018-02-25,438250000.0,53466,101432916,156
2018-02-26,121990000.0,8878,38362449,59
2018-02-27,114850000.0,-43,27959073,43
2018-02-28,135900000.0,-51,33160761,51
2018-03-01,128900000.0,-50,32510550,50
2018-03-02,240950000.0,-93,60469623,93
2018-03-03,142500000.0,-62,40313082,62
2018-03-04,76500000.0,-30,19506330,30
2018-03-05,183790000.0,16805,49416036,76
2018-03-06,99250000.0,-47,30559917,47
2018-03-07,89000000.0,-47,30559917,47
2018-03-08,106500000.0,-46,29909706,46
2018-03-09,101600000.0,-47,30559917,47
2018-03-10,131550000.0,-62,40313082,62
2018-03-11,71200000.0,-37,24057807,37
2018-03-12,196650000.0,-64,41613504,64
2018-03-13,112690000.0,4917,31210128,48
2018-03-14,95500000.0,-44,28609284,44
2018-03-15,128050000.0,-61,39662871,61
2018-03-16,205084000.0,1915,46164981,71
2018-03-17,96590000.0,35687,39662871,61
2018-03-18,52000000.0,-25,16255275,25
2018-03-19,107000000.0,-51,33160761,51
2018-03-20,147950000.0,-61,39662871,61
2018-03-21,93100000.0,2924,35761605,55
2018-03-22,50900000.0,-42,27308862,42
2018-03-23,100550000.0,-44,28609284,44
2018-03-24,178300000.0,-72,46815192,72
2018-03-25,65800000.0,-31,20156541,31
2018-03-26,161850000.0,-68,44214348,68
2018-03-27,115700000.0,-49,31860339,49
2018-03-28,113500000.0,-59,38362449,59
2018-03-29,68880000.0,954,25358229,39
2018-03-30,121400000.0,-49,31860339,49
2018-03-31,187000000.0,-78,50716458,78
2018-04-01,81500000.0,-30,19506330,30
2018-04-02,140090000.0,3903,44864559,69
2018-04-03,115200000.0,-50,32510550,50
2018-04-04,95200000.0,-45,29259495,45
2018-04-05,74000000.0,-36,23407596,36
2018-04-06,99400000.0,936,37062027,57
2018-04-07,141350000.0,-65,42263715,65
2018-04-08,103400000.0,-40,26008440,40
2018-04-09,127000000.0,-51,33160761,51
2018-04-10,77740000.0,2933,29909706,46
2018-04-11,139800000.0,-50,32510550,50
2018-04-12,137200000.0,-56,36411816,56
2018-04-13,113300000.0,-56,36411816,56
2018-04-14,120650000.0,1928,37712238,58
2018-04-15,62450000.0,-36,23407596,36
2018-04-16,111400000.0,1934,33810972,52
2018-04-17,106000000.0,-53,34461183,53
2018-04-18,149150000.0,1925,39662871,61
2018-04-19,96700000.0,-53,34461183,53
2018-04-20,124100000.0,-53,34461183,53
2018-04-21,125600000.0,-58,37712238,58
2018-04-22,55500000.0,-18,11703798,18
2018-04-23,126750000.0,-60,39012660,60
2018-04-24,141100000.0,-62,40313082,62
2018-04-25,85000000.0,-36,23407596,36
2018-04-26,193900000.0,913,52016880,80
2018-04-27,517600000.0,-163,105984393,163
2018-04-28,121750000.0,-52,33810972,52
2018-04-29,65700000.0,-23,14954853,23
2018-04-30,55900000.0,-17,11053587,17
2018-05-01,55350000.0,-23,14954853,23
2018-05-02,195000000.0,-88,57218568,88
2018-05-03,183900000.0,-78,50716458,78
2018-05-04,165800000.0,-67,43564137,67
2018-05-05,181900000.0,1909,50066247,77
2018-05-06,69500000.0,-36,23407596,36
2018-05-07,112300000.0,-64,41613504,64
2018-05-08,96750000.0,-44,28609284,44
2018-05-09,136730000.0,1913,47465403,73
2018-05-10,138650000.0,-78,50716458,78
2018-05-11,169950000.0,921,46815192,72
2018-05-12,158250000.0,-69,44864559,69
2018-05-13,36050000.0,-21,13654431,21
2018-05-14,180250000.0,-84,54617724,84
2018-05-15,148350000.0,-75,48765825,75
2018-05-16,160450000.0,-81,52667091,81
2018-05-17,112150000.0,-65,42263715,65
2018-05-18,191150000.0,-87,56568357,87
2018-05-19,87700000.0,-41,26658651,41
2018-05-20,74500000.0,-34,22107174,34
2018-05-21,181900000.0,-76,49416036,76
2018-05-22,146050000.0,-68,44214348,68
2018-05-23,82770000.0,24764,39662871,61
2018-05-24,126090000.0,20783,45514770,70
2018-05-25,160898000.0,45586,59819412,92
2018-05-26,135750000.0,-66,42913926,66
2018-05-27,91250000.0,-35,22757385,35
2018-05-28,181700000.0,-72,46815192,72
2018-05-29,95300000.0,1937,31860339,49
2018-05-30,143850000.0,-59,38362449,59
2018-05-31,104750000.0,-55,35761605,55
2018-06-01,155050000.0,-60,39012660,60
2018-06-02,47600000.0,-27,17555697,27
2018-06-03,61250000.0,-31,20156541,31
2018-06-04,143000000.0,-56,36411816,56
2018-06-05,167200000.0,-58,37712238,58
2018-06-06,73000000.0,-37,24057807,37
2018-06-07,126000000.0,79353,56568357,87
2018-06-08,140040000.0,13831,46164981,71
2018-06-09,89550000.0,-40,26008440,40
2018-06-10,63600000.0,-37,24057807,37
2018-06-11,247400000.0,-100,65021100,100
2018-06-12,87050000.0,-46,29909706,46
2018-06-13,119050000.0,-62,40313082,62
2018-06-14,171500000.0,-69,44864559,69
2018-06-15,139500000.0,-68,44214348,68
2018-06-16,113950000.0,-65,42263715,65
2018-06-17,25500000.0,-21,13654431,21
2018-06-18,121950000.0,-66,42913926,66
2018-06-19,131400000.0,-63,40963293,63
2018-06-20,151000000.0,-71,46164981,71
2018-06-21,143450000.0,-73,47465403,73
2018-06-22,112750000.0,-66,42913926,66
2018-06-23,92300000.0,-50,32510550,50
2018-06-24,61400000.0,-34,22107174,34
2018-06-25,237650000.0,-87,56568357,87
2018-06-26,254550000.0,-106,68922366,106
2018-06-27,159100000.0,-72,46815192,72
2018-06-28,236500000.0,-80,52016880,80
2018-06-29,159050000.0,-63,40963293,63
2018-06-30,243250000.0,-72,46815192,72
2018-07-01,54080000.0,31723,34461183,53
2018-07-02,216610000.0,2888,59169201,91
2018-07-03,273310000.0,8825,72823632,112
2018-07-04,133450000.0,-58,37712238,58
2018-07-05,197100000.0,-85,55267935,85
2018-07-06,163350000.0,-74,48115614,74
2018-07-07,148800000.0,-65,42263715,65
2018-07-08,86000000.0,-44,28609284,44
